what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378423753584
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378423754520
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378423755228
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378423757651
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1378423758031
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1378423762075
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1378423762786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423765754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423767677
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378423768176
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378423768261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423774356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423781855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423801246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423801391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423802397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423805895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378423806957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423807868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423814001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423815438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423818983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423838188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423838347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423848941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423859727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423901158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423903405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378423905398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423913949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423916041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423922710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423925492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378423926368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1378423933384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1378423933802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1378423934702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378423939364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423945005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423946943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423996116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423996259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378423999087
